Item,Qty,Datetime,Traffic
Drink 6 - Hot Chocolate - FM,1,2023-10-28 09:10:51,397
Drink 1 - Drip Coffee - FM,2,2023-10-28 09:08:28,397
Berry Croissant - FM,1,2023-10-28 09:04:24,397
Croissant - Butter - FM,1,2023-10-28 09:03:37,397
KA - Original - FM,1,2023-10-28 09:03:37,397
Croissant - Pain Au Chocolat - FM,1,2023-10-28 09:02:33,397
Croissant - Ube & Strawberry - FM,1,2023-10-28 09:02:33,397
Croissant - Cube - FM,1,2023-10-28 09:02:33,397
Croissant - Almond - FM,1,2023-10-28 09:02:33,397
Drink 1 - Drip Coffee - FM,1,2023-10-28 09:01:19,397
Croissant - Butter - FM,1,2023-10-28 08:58:04,266
Croissant - Pain Au Chocolat - FM,1,2023-10-28 08:58:04,266
Croissant - Pumpkin Croissant - FM,1,2023-10-28 08:58:04,266
Croissant - Butter - FM,2,2023-10-28 08:53:59,266
Drink 2 - Cold Brew - FM,1,2023-10-28 08:53:36,266
Croissant - Pain Au Chocolat - FM,1,2023-10-28 08:43:55,266
Drink 1 - Drip Coffee - FM,1,2023-10-28 08:43:55,266
Drink 6 - Hot Chocolate - FM,1,2023-10-28 08:41:54,266
Croissant - Pumpkin Croissant - FM,1,2023-10-28 08:41:09,266
Drink 1 - Drip Coffee - FM,1,2023-10-28 08:41:09,266
Croissant - Butter - FM,4,2023-10-28 08:39:47,266
Berry Croissant - FM,1,2023-10-28 08:39:47,266
Croissant - Butter - FM,1,2023-10-28 08:39:10,266
Drink 1 - Drip Coffee - FM,1,2023-10-28 08:39:10,266
KA - Original - FM,1,2023-10-28 08:35:52,266
Croissant - Almond - FM,1,2023-10-28 08:35:52,266
Croissant - Butter - FM,1,2023-10-28 08:35:52,266
KA - Original - FM,1,2023-10-28 08:34:19,266
Croissant - Pumpkin Croissant - FM,1,2023-10-28 08:29:10,266
Drink 1 - Drip Coffee - FM,1,2023-10-28 08:29:10,266
Croissant - Pain Au Chocolat - FM,1,2023-10-28 08:26:03,266
KA - Cayenne - FM,1,2023-10-28 08:26:03,266
Drink 6 - Hot Chocolate - FM,6,2023-10-28 08:25:09,266
Croissant - Cube - FM,1,2023-10-28 08:20:15,266
KA - Original - FM,1,2023-10-28 08:20:15,266
Drink 1 - Drip Coffee - FM,1,2023-10-28 08:16:40,266
KA - Original - FM,1,2023-10-28 08:13:51,266
Croissant - Butter - FM,2,2023-10-28 08:11:51,266
Croissant - Almond - FM,1,2023-10-28 08:11:51,266
KA - Original - FM,1,2023-10-28 08:10:30,266
Drink 1 - Drip Coffee - FM,2,2023-10-28 08:10:01,266
Croissant - Almond - FM,1,2023-10-28 08:07:39,266
Croissant - Ube & Strawberry - FM,1,2023-10-28 08:07:39,266
Drink 1 - Drip Coffee - FM,1,2023-10-28 08:04:49,266
Drink 1 - Drip Coffee - FM,1,2023-10-28 08:04:11,266
Drink 1 - Drip Coffee - FM,1,2023-10-28 08:02:54,266
Drink 1 - Drip Coffee - FM,1,2023-10-28 08:01:20,266
Croissant - Ube & Strawberry - FM,1,2023-10-28 08:00:01,266
Drink 2 - Cold Brew - FM,1,2023-10-28 07:59:44,184
Drink 2 - Cold Brew - FM,1,2023-10-28 07:59:03,184
Drink 2 - Cold Brew - FM,2,2023-10-28 07:49:32,184
Croissant - Pain Au Raisin - FM,10,2023-10-28 07:45:43,184
Croissant - Pain Au Chocolat - FM,2,2023-10-28 07:45:43,184
Croissant - Butter - FM,2,2023-10-28 07:45:43,184
Croissant - Almond - FM,2,2023-10-28 07:45:43,184
Croissant - Ube & Strawberry - FM,1,2023-10-28 07:44:17,184
Croissant - Butter - FM,4,2023-10-28 07:37:14,184
KA - Original - FM,1,2023-10-28 07:35:43,184
Croissant - Rose & Lychee Croissant - FM,1,2023-10-28 07:35:19,184
Croissant - Rose & Lychee Croissant - FM,1,2023-10-28 07:31:21,184
Croissant - Ube & Strawberry - FM,1,2023-10-28 07:31:21,184
Croissant - Rose & Lychee Croissant - FM,1,2023-10-28 07:27:47,184
Drink 2 - Cold Brew - FM,1,2023-10-28 07:27:47,184
Croissant - Almond - FM,1,2023-10-28 07:27:05,184
Croissant - Almond - FM,1,2023-10-28 07:22:07,184
Croissant - Pain Au Chocolat - FM,1,2023-10-28 07:18:14,184
Drink 1 - Drip Coffee - FM,1,2023-10-28 07:18:14,184
Croissant - Butter - FM,1,2023-10-28 07:09:59,184
Croissant - Pain Au Chocolat - FM,1,2023-10-21 11:17:54,794
Croissant - Almond - FM,1,2023-10-21 11:16:19,794
Croissant - Pumpkin Croissant - FM,1,2023-10-21 11:08:11,794
Croissant - Ube & Strawberry - FM,1,2023-10-21 11:07:36,794
Croissant - Pain Au Chocolat - FM,1,2023-10-21 11:06:20,794
Croissant - Ube & Strawberry - FM,1,2023-10-21 11:05:14,794
Croissant - Pumpkin Croissant - FM,1,2023-10-21 11:04:23,794
Croissant - Almond - FM,1,2023-10-21 11:03:54,794
Croissant - Pain Au Chocolat - FM,1,2023-10-21 11:03:03,794
Croissant - Ube & Strawberry - FM,1,2023-10-21 11:01:57,794
Croissant - Almond - FM,1,2023-10-21 11:00:49,794
Croissant - Ube & Strawberry - FM,1,2023-10-21 11:00:49,794
Croissant - Ube & Strawberry - FM,1,2023-10-21 11:00:27,794
Croissant - Pumpkin Croissant - FM,1,2023-10-21 11:00:27,794
Croissant - Ube & Strawberry - FM,1,2023-10-21 10:59:57,990
Croissant - Ube & Strawberry - FM,1,2023-10-21 10:56:59,990
Croissant - Pumpkin Croissant - FM,1,2023-10-21 10:56:59,990
Croissant - Almond - FM,2,2023-10-21 10:56:26,990
Croissant - Ube & Strawberry - FM,1,2023-10-21 10:55:43,990
Croissant - Almond - FM,1,2023-10-21 10:54:05,990
Croissant - Pain Au Chocolat - FM,1,2023-10-21 10:53:19,990
Croissant - Pain Au Chocolat - FM,1,2023-10-21 10:52:29,990
Croissant - Ube & Strawberry - FM,1,2023-10-21 10:46:56,990
Croissant - Pumpkin Croissant - FM,1,2023-10-21 10:46:56,990
Croissant - Ube & Strawberry - FM,1,2023-10-21 10:45:13,990
Croissant - Ube & Strawberry - FM,1,2023-10-21 10:43:44,990
Croissant - Almond - FM,1,2023-10-21 10:42:53,990
Croissant - Pumpkin Croissant - FM,1,2023-10-21 10:39:42,990
Croissant - Almond - FM,1,2023-10-21 10:38:58,990
Berry Croissant - FM,1,2023-10-21 10:38:58,990
Croissant - Almond - FM,1,2023-10-21 10:33:32,990
Croissant - Pain Au Chocolat - FM,1,2023-10-21 10:33:32,990
Croissant - Pain Au Chocolat - FM,2,2023-10-21 10:28:30,990
Croissant - Ube & Strawberry - FM,1,2023-10-21 10:24:31,990
Croissant - Almond - FM,1,2023-10-21 10:21:26,990
